DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
1980/08/25 11:41:36.90,38.2000,-83.9100,13.00,,Unk,9,,,0.00,NEI,198008254007
1980/09/21 10:02:46.30,38.1700,-80.0790,2.70,1.60,Mc,11,193,14,0.30,SE,
1980/09/26 01:31:57.80,38.0720,-77.7690,3.80,1.90,Mc,12,116,6,0.20,SE,
1980/09/26 05:04:15.70,38.0910,-77.7380,6.20,0.20,Mc,6,191,4,0.20,SE,
1980/10/11 22:40:28.50,38.1190,-77.8110,2.40,1.10,Mc,6,166,6,0.10,SE,
1980/10/14 01:20:04.60,37.0850,-80.2180,5.30,1.80,Mc,24,171,23,0.40,SE,
1980/10/16 03:48:07.60,38.0670,-80.2150,10.80,1.20,Mc,13,180,27,0.20,SE,
1980/10/24 17:27:38.10,41.3100,-72.8600,0.00,,Unk,11,,,0.00,PAL,198010244025
1980/10/25 00:41:28.30,41.3300,-72.8800,0.00,,Unk,11,,,0.00,PAL,198010254004
1980/11/23 00:39:32.40,42.6200,-71.3900,0.00,,Unk,8,,,0.00,USG,198011234002
1980/11/25 07:44:04.40,38.1080,-80.0920,15.30,0.90,Mc,8,322,15,0.10,SE,
1980/11/27 05:26:54.60,38.3100,-83.3300,5.00,2.50,Mc,,,,,SE,
1980/12/02 07:47:38.20,37.4140,-80.5460,13.10,0.50,Mc,10,111,25,0.20,SE,
1980/12/30 03:07:08.10,38.2000,-83.9100,11.00,1.60,Unk,1,,,0.00,ISC,198012304004
1981/01/14 21:10:33.90,38.2000,-83.9100,11.00,1.50,Mc,2,,,,SE,
1981/01/19 21:54:19.30,37.7330,-78.4300,5.20,0.70,Mc,12,180,28,0.20,SE,
1981/01/21 16:29:58.10,37.7720,-78.4140,7.90,0.20,Mc,9,174,24,0.10,SE,
1981/03/20 04:02:03.00,37.5190,-77.6790,5.50,0.70,Mc,7,291,49,0.10,SE,
1981/04/09 07:12:54.40,37.4810,-77.8210,0.70,2.30,Mc,18,129,43,0.30,SE,
1981/04/09 07:34:36.10,37.4650,-77.8670,1.20,0.50,Mc,6,267,42,0.30,SE,
1981/04/09 12:02:37.40,35.5000,-82.1100,6.80,2.50,Mc,14,221,,0.30,SE,
