EVENTID,AUTHOR   ,DATE      ,TIME       ,LAT     ,LON      ,DEPTH,DEPFIX,AUTHOR   ,TYPE  ,MAG ,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
242492,ISC      ,3/10/1993,32:21.3,39.226,-76.8766,5,TRUE  ,BLA;NEIC ,MD    ,2.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
237179,NEIC     ,4/4/1993,31:29.4,39.17,-76.8,5,      ,NED      ,MD    ,1.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
218718,NEIC     ,7/9/1993,31:01.4,39.2,-76.9,5,      ,NED      ,MD    ,1.9,,,
2,,,,,,,,,,,,,
,,,,,,,,,,,,,
24806,ISC      ,7/28/1993,33:53.5,42.6425,-71.367,4,      ,WES;NEIC ,MD    ,2.3,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
178020,ISC      ,4/16/1994,10:12.5,35.7522,-83.971,3.3,      ,TVA;NEIC ,M     ,1.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
172287,ISC      ,5/7/1994,31:37.6,40.2599,-76.0057,26.4,      ,USGS;NEIC,mbLg  ,2.5,,,
1,,,,,,,,,,,,,
,,,,,,,,,,,,,
73690,NEIC     ,5/18/1994,5:18:55,40,-76.2,5,      ,NED      ,MD    ,2.4,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
960215,ISC      ,4/22/1996,44:28.5,41.6436,-71.1008,5,TRUE  ,USGS;NEIC,mbLg  ,2.5,,,
9,,,,,,,,,,,,,
,,,,,,,,,,,,,
87430,NEIC     ,9/21/1996,1:24:00,35.7,-84,5,      ,USGS;NEIC,mbLg  ,2,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
992173,ISC      ,10/17/1996,43:25.3,39.5753,-76.0662,2.3,      ,USGS;NEIC,mbLg  ,2.3,PAL;NEIC ,MD    ,
,,,,,,,,,,,,,
2.2,,,,,,,,,,,,,
1002926,NEIC     ,12/22/1996,56:17.2,39.2,-76.9,5,      ,NED;NEIC ,MD    ,2.3,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1032331,ISC      ,6/16/1997,43:17.3,40.0944,-76.9496,10.8,      ,USGS;NEIC,mbLg  ,1.9,NED;NEIC ,,
,,,,,,,,,,,,,
MD    ,2.2,,,,,,,,,,,,
1038896,ISC      ,7/27/1997,10:38.3,38.5305,-78.6495,5,TRUE  ,USGS;NEIC,mbLg  ,2.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1044570,ISC      ,9/29/1997,45:08.8,38.6729,-77.3586,5,TRUE  ,USGS;NEIC,mbLg  ,2.5,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
1049918,ISC      ,10/30/1997,42:21.0,36.7348,-81.1787,9.7,TRUE  ,BLA;NEIC ,MD    ,,,,
,,,,,,,,,,,,,
2.2,,,,,,,,,,,,,
1049975,ISC      ,10/30/1997,59:39.7,36.7362,-81.0093,8.8,TRUE  ,BLA;NEIC ,,,,,
,,,,,,,,,,,,,
MD    ,2.1,,,,,,,,,,,,
