emw,lon(dE),lat(dN),dp(km),y,m,d,h,m,s,mwsig,nstar,comment
3.08,-89.9,35.8,0,1938,6,17,0,0,0,0.24,1.165,NCE|3.4mb
3.64,-78.43,40.68,0,1938,7,15,22,45,0,0.353,1.391,SSC|3.64mwa(TblB3
2.96,-73.7,41,0,1938,7,29,7,44,0,0.361,1.413,SSC|2.96mwa(TblB3
3.55,-68.79,44.89,0,1938,8,22,12,48,0,0.353,1.391,SSC|3.55mwa(TblB3
4.39,-74.5,40.1,0,1938,8,23,9,4,0,0.221,1.124,SSC|TMP04647
4.48,-90.25,35.41,1,1938,9,18,3,34,28.3,0.24,1.165,NCE|4.8lg
3.06,-72.2,41.5,0,1938,9,20,0,0,0,0.22,1.137,NCE|lnfa=07.4
3.94,-69.58,48.78,0,1938,9,28,4,33,16,0.46,1.752,NCE|4.1ml
3.08,-89.9,36.5,0,1938,9,28,11,32,0,0.24,1.165,NCE|3.4mb
3.78,-99.3,43.8,0,1938,10,1,22,15,0,0.24,1.165,NCE|4.1lg
3.78,-96.7,43.5,0,1938,10,11,9,37,0,0.24,1.165,NCE|4.1mb
2.86,-73.7,41.2,0,1938,10,21,7,18,0,0.363,1.418,SSC|2.86mwa(TblB3
3.48,-98.9,43.2,0,1938,11,4,22,10,0,0.24,1.165,NCE|3.8mb
2.68,-90.7,42.5,0,1938,11,8,5,30,0,0.24,1.165,NCE|3.0mb
3.05,-75.241,44.94,0,1938,11,18,22,19,0,0.359,1.407,SSC|3.05mwa(TblB3
4.02,-76.2,47.03,0,1938,11,26,7,47,57.5,0.46,1.752,NCE|4.2ml
3.78,-75.4,47.6,0,1938,12,25,7,46,0,0.46,1.752,NCE|3.9ml
3.29,-79.85,43.25,0,1939,1,14,8,10,16,0.46,1.752,NCE|3.3ml
2.5,-74,45,0,1939,1,15,1,28,0,0.19,1.09,SSC|TMP04727
3.78,-95.8,46.8,0,1939,1,28,17,55,0,0.24,1.165,NCE|4.1mb
2.59,-74,45.3,0,1939,2,9,15,11,0,0.203,1.104,SSC|TMP04739
2.83,-78.3,42.9,0,1939,2,24,0,20,0,0.22,1.137,NCE|lnfa=06.4
3.53,-77.5,46.4,0,1939,3,16,20,21,0,0.46,1.752,NCE|3.6ml
3.28,-84.1,40.4,0,1939,3,18,13,3,0,0.333,1.342,SRA|3.60mfaBAR
3.08,-89.4,36.8,0,1939,4,15,17,25,0,0.24,1.165,NCE|3.4mb
3.11,-85.8,33.7,0,1939,5,5,2,45,0,0.22,1.137,NCE|lnfa=07.6
2.58,-75.2,44.6,0,1939,6,1,3,36,0,0.22,1.137,NCE|lnfa=05.3
4.08,-96.4,35,0,1939,6,1,7,30,0,0.24,1.165,NCE|4.4lg
3.48,-98.9,43,0,1939,6,10,18,30,0,0.24,1.165,NCE|3.8mb
3.08,-84.2,40.4,0,1939,6,18,2,20,0,0.333,1.342,SRA|3.40mfaBAR
4.08,-92.6,34.1,0,1939,6,19,21,43,12,0.24,1.165,NCE|4.4lg
3.18,-86.6,34.7,0,1939,6,24,10,27,0,0.24,1.165,NCE|3.5mb
4.35,-69.98,47.59,14,1939,6,24,17,20,18.3,0.24,1.165,NCE|4.5mn
2.68,-84,40.3,0,1939,7,9,12,50,0,0.24,1.165,NCE|3.0mb
2.53,-76.02,45.95,18,1939,9,4,5,17,0,0.156,1.06,SSC|TMP04799
3.08,-89.5,36.4,0,1939,9,19,0,0,0,0.24,1.165,NCE|3.4mb
2.76,-71.4,42.9,0,1939,10,11,18,49,0,0.365,1.424,SSC|2.76mwa(TblB3
5.09,-69.73,48.02,8,1939,10,19,11,53,58,0.3,1.269,J96|5.30mwm(24.00
2.66,-73.3,43.3,0,1939,10,21,8,59,0,0.368,1.432,SSC|2.66mwa(TblB3
3.95,-70.5,47.8,0,1939,11,7,2,40,32,0.24,1.165,NCE|4.1mn
3.05,-87.1,45.7,0,1939,11,7,10,0,0,0.24,1.165,NCE|3.2mb
3.35,-75.05,39.58,0,1939,11,15,2,53,0,0.355,1.397,SSC|3.35mwa(TblB3
4.58,-90.14,38.18,0,1939,11,23,15,14,52,0.24,1.165,NCE|4.9lg
2.88,-90.6,41.6,0,1939,11,24,19,45,0,0.24,1.165,NCE|3.2mb
3.35,-76.6,39.5,0,1939,11,26,5,20,0,0.5,1.94,NCE|io=05.0
2.68,-71.4,47.97,0,1939,12,8,1,17,47,0.5,1.94,NCE|io=04.0
3.01,-70.5,48,0,1939,12,25,10,29,13.4,0.5,1.94,NCE|io=04.5
3.05,-79.08,46.72,0,1940,1,5,0,34,14,0.46,1.752,NCE|3.0ml
3.08,-85.8,38.3,0,1940,1,8,20,5,0,0.24,1.165,NCE|3.4mb
3.08,-89.5,37.2,0,1940,2,4,17,33,0,0.24,1.165,NCE|3.4mb
3.86,-76.83,46.5,0,1940,2,10,20,57,17.3,0.46,1.752,NCE|4.0ml
3.08,-89.8,35.9,0,1940,2,14,11,10,0,0.24,1.165,NCE|3.4mb
3.35,-78.5,38.8,0,1940,3,26,0,1,0,0.5,1.94,NCE|io=05.0
3.05,-69.9,44.7,0,1940,3,28,11,42,0,0.359,1.407,SSC|3.05mwa(TblB3
2.76,-74.6,42.8,0,1940,4,12,1,58,0,0.365,1.424,SSC|2.76mwa(TblB3
3.7,-70.73,47.73,0,1940,4,13,8,13,34,0.46,1.752,NCE|3.8ml
2.73,-74.9,44.8,0,1940,4,13,8,23,27,0.46,1.752,SRA|2.60mlEPB
2.56,-72,40,0,1940,5,10,19,23,0,0.371,1.44,SSC|2.56mwa(TblB3
3.53,-73.2,45.8,0,1940,5,16,14,0,17.1,0.46,1.752,NCE|3.6ml
2.88,-85.8,38.2,0,1940,5,27,8,30,0,0.24,1.165,NCE|3.2mb
2.85,-81.5,41.1,0,1940,5,31,16,0,0,0.24,1.165,NCE|3.0mb
3.28,-88.6,37.1,0,1940,5,31,19,3,0,0.24,1.165,NCE|3.6mb
3.65,-82.3,40.9,0,1940,6,16,4,30,0,0.24,1.165,NCE|3.8mb
2.79,-70.1,47.6,0,1940,6,20,6,43,0,0.203,1.104,SSC|TMP04861
3.25,-82.3,40.9,0,1940,7,28,9,30,0,0.24,1.165,NCE|3.4mb
3.13,-74.78,46.25,0,1940,8,4,16,20,52,0.46,1.752,NCE|3.1ml
3.05,-74.83,45.77,0,1940,8,7,23,57,35.3,0.46,1.752,NCE|3.0ml
3.25,-82.3,40.9,0,1940,8,15,10,35,0,0.24,1.165,NCE|3.4mb
3.45,-71.13,47,0,1940,9,11,1,6,55.4,0.46,1.752,NCE|3.5ml
2.88,-89.6,36.5,0,1940,9,19,23,43,0,0.24,1.165,NCE|3.2mb
2.76,-73.5,44.7,0,1940,9,26,23,30,0,0.365,1.424,SSC|2.76mwa(TblB3
2.88,-89.2,36.8,0,1940,10,10,19,34,0,0.24,1.165,NCE|3.2mb
4.42,-69.8,47.8,0,1940,10,13,19,50,51,0.46,1.752,NCE|4.7ml
3.18,-85.1,34.7,0,1940,10,19,5,54,0,0.24,1.165,NCE|3.5mb
3.48,-94,33,0,1940,12,2,16,16,0,0.24,1.165,NCE|3.8mb
5.4,-71.28,43.91,8,1940,12,24,13,43,45,0.3,1.269,J96|5.61mwm(24.46
3.45,-82.9,35.9,0,1940,12,25,6,50,0,0.156,1.06,SSC|TMP04889
3.28,-87.3,37.9,0,1940,12,29,2,30,0,0.333,1.342,SRA|3.60mfaBAR
3.08,-83.9,36,0,1941,3,4,6,15,0,0.24,1.165,NCE|3.4mb
2.59,-76.297,46.135,18,1941,3,4,18,1,0,0.156,1.06,SSC|TMP04906
3.05,-75.5,46.27,0,1941,3,5,7,29,23.2,0.46,1.752,NCE|3.0ml
3.25,-73.9,44.7,0,1941,4,4,8,10,0,0.356,1.399,SSC|3.25mwa(TblB3
2.65,-72.5,40.5,0,1941,4,29,14,5,35,0.46,1.752,SRA|2.50mlEPB
2.68,-82.6,35.6,0,1941,5,10,11,12,0,0.5,1.94,NCE|io=04.0
2.86,-72.3,43.8,0,1941,5,19,11,59,0,0.363,1.418,SSC|2.86mwa(TblB3
3.78,-103.5,43.5,0,1941,5,25,6,25,0,0.24,1.165,NCE|4.1mb
3.89,-76,52.5,18,1941,6,8,20,21,0,0.156,1.06,SSC|TMP04915
3.05,-70.34,47.39,0,1941,6,22,9,59,31,0.46,1.752,NCE|3.0ml
3.94,-76.83,47.4,0,1941,6,26,4,5,44.9,0.46,1.752,NCE|4.1ml
3.28,-90.8,32.3,0,1941,6,28,18,30,0,0.24,1.165,NCE|3.6mb
2.67,-73.75,41.13,0,1941,7,28,19,24,10,0.22,1.137,NCE|lnfa=05.7
3.08,-89.7,36.7,0,1941,8,27,3,59,0,0.24,1.165,NCE|3.4mb
3.62,-67.9,46.1,0,1941,8,30,10,21,0,0.46,1.752,NCE|3.7ml
2.88,-85.3,35,0,1941,9,8,9,45,0,0.24,1.165,NCE|3.2mb
3.86,-70.73,47.63,0,1941,10,6,16,34,27.6,0.46,1.752,NCE|4.0ml
3.38,-89.7,36.2,0,1941,10,8,7,51,0,0.24,1.165,NCE|3.7mb
2.56,-72.3,42.3,0,1941,10,11,8,15,0,0.371,1.44,SSC|2.56mwa(TblB3
2.88,-99,35.4,0,1941,10,18,7,48,0,0.24,1.165,NCE|3.2mb
3.25,-74.8,44.77,0,1941,10,21,6,10,0,0.356,1.399,SSC|3.25mwa(TblB3
3.38,-89.1,37,0,1941,10,21,16,53,0,0.24,1.165,NCE|3.7mb
3.53,-74.3,45.7,0,1941,10,24,14,13,59.3,0.46,1.752,NCE|3.6ml
3.48,-90,35.1,0,1941,11,15,3,7,0,0.24,1.165,NCE|3.8mb
3.08,-90.2,38.3,0,1941,11,15,20,4,0,0.24,1.165,NCE|3.4mb
4.38,-89.7,35.5,0,1941,11,17,3,8,0,0.24,1.165,NCE|4.7mb
2.88,-89.5,37.3,0,1941,11,22,21,55,0,0.24,1.165,NCE|3.2mb
2.96,-73.6,44.9,0,1941,12,12,23,28,0,0.361,1.413,SSC|2.96mwa(TblB3
3.28,-90.3,38.4,0,1942,1,14,18,5,0,0.24,1.165,NCE|3.6mb
2.68,-81,26.5,0,1942,1,19,0,0,0,0.5,1.94,NCE|io=04.0
3.15,-73.9,44.7,0,1942,1,31,4,11,0,0.357,1.402,SSC|3.15mwa(TblB3
3.13,-74.77,46.83,0,1942,2,18,7,55,12,0.46,1.752,NCE|3.1ml
3.31,-104.4,42.5,0,1942,2,25,14,15,0,0.512,1.872,SSC|TMP04956
3.68,-89.7,41.2,0,1942,3,1,14,43,10,0.24,1.165,NCE|4.0mb
2.66,-70.4,44.2,0,1942,3,8,23,37,0,0.368,1.432,SSC|2.66mwa(TblB3
3.28,-103.5,44.4,0,1942,3,11,16,55,0,0.24,1.165,NCE|3.6mb
2.88,-88.6,37.7,0,1942,3,29,12,43,0,0.24,1.165,NCE|3.2mb
2.66,-72.9,41.4,0,1942,4,23,20,39,0,0.368,1.432,SSC|2.66mwa(TblB3
4.18,-74.67,45.77,0,1942,5,20,12,19,22.8,0.46,1.752,NCE|4.4ml
3.25,-73.8,44.7,0,1942,5,24,11,33,0,0.356,1.399,SSC|3.25mwa(TblB3
3.38,-97.9,36.4,0,1942,6,12,4,50,0,0.24,1.165,NCE|3.7mb
2.96,-70.7,42.4,0,1942,6,14,11,4,0,0.361,1.413,SSC|2.96mwa(TblB3
2.66,-70.7,42.7,0,1942,6,14,19,52,0,0.368,1.432,SSC|2.66mwa(TblB3
3.55,-77.5,46.8,0,1942,8,26,17,54,0,0.24,1.165,NCE|3.7mn
3.48,-89.2,37,0,1942,8,31,9,28,0,0.24,1.165,NCE|3.8mb
3.13,-71.5,46.97,0,1942,9,5,14,30,24.1,0.46,1.752,NCE|3.1ml
3.88,-99.3,38.8,0,1942,9,10,9,0,0,0.24,1.165,NCE|4.2mb
3.55,-67.4,49.22,0,1942,9,11,11,5,13,0.24,1.165,NCE|3.7mn
3.29,-76,46.78,0,1942,9,15,22,32,46,0.46,1.752,NCE|3.3ml
2.65,-73.5,44,0,1942,10,1,20,58,22,0.46,1.752,SRA|2.50mlEPB
2.76,-73.8,42.57,0,1942,10,2,22,29,0,0.365,1.424,SSC|2.76mwa(TblB3
3.27,-78.4,37.6,0,1942,10,7,2,15,0,0.22,1.137,NCE|lnfa=08.3
3.15,-75.25,40.97,0,1942,10,24,17,27,0,0.357,1.402,SSC|3.15mwa(TblB3
3.53,-75.05,46.42,0,1942,11,16,0,13,29.4,0.46,1.752,NCE|3.6ml
2.88,-90.2,38.6,0,1942,11,17,18,18,0,0.24,1.165,NCE|3.2mb
3.08,-89.7,36.8,0,1942,11,30,16,53,0,0.24,1.165,NCE|3.4mb
4.02,-76.07,46.97,0,1942,12,5,21,10,51.2,0.46,1.752,NCE|4.2ml
2.88,-90.3,38.6,0,1942,12,27,20,40,0,0.24,1.165,NCE|3.2mb
3.69,-69.33,45.16,0,1943,1,14,21,32,0,0.3,1.269,SSC|3.90mwm(TblB2
3.05,-88.2,45.2,0,1943,2,9,23,21,0,0.24,1.165,NCE|3.2mb
3.62,-75.77,46.5,0,1943,2,28,16,40,1.2,0.46,1.752,NCE|3.7ml
4.04,-81.29,41.62,0,1943,3,9,3,25,0,0.353,1.391,SSC|4.04mwa(TblB3
3.25,-71.6,43.7,0,1943,3,14,14,2,0,0.356,1.399,SSC|3.25mwa(TblB3
3.48,-85.8,38.3,0,1943,4,13,17,0,0,0.24,1.165,NCE|3.8mb
3.15,-73.835,44.736,0,1943,5,9,11,3,0,0.357,1.402,SSC|3.15mwa(TblB3
3.48,-103.5,43.5,0,1943,5,16,19,40,0,0.24,1.165,NCE|3.8mb
2.68,-90.2,38.9,0,1943,5,20,20,5,0,0.24,1.165,NCE|3.0mb
3.28,-90.4,38.6,0,1943,6,8,19,50,0,0.24,1.165,NCE|3.6mb
2.86,-71.8,41.1,0,1943,6,11,22,51,0,0.363,1.418,SSC|2.86mwa(TblB3
3.68,-105,48.5,0,1943,6,25,4,25,0,0.24,1.165,NCE|4.0lg
3.84,-73.03,44.84,0,1943,7,6,22,10,0,0.352,1.389,SSC|3.84mwa(TblB3
3.15,-72.7,40,0,1943,7,24,5,18,0,0.357,1.402,SSC|3.15mwa(TblB3
3.29,-70.65,47.55,0,1943,9,25,5,52,36.1,0.46,1.752,NCE|3.3ml
3.7,-70.4,47.27,0,1943,9,28,16,30,25.2,0.46,1.752,NCE|3.8ml
3.31,-74.2,41.1,0,1943,10,1,0,0,0,0.512,1.872,SSC|TMP04992
3.05,-74.2,44.6,0,1943,10,15,23,0,0,0.359,1.407,SSC|3.05mwa(TblB3
3.78,-70.08,47.38,0,1943,11,6,0,6,40.5,0.46,1.752,NCE|3.9ml
3.21,-74.87,47.68,0,1943,12,6,7,19,40,0.46,1.752,NCE|3.2ml
2.76,-69.6,44.6,0,1943,12,19,9,0,0,0.365,1.424,SSC|2.76mwa(TblB3
2.68,-80.2,33,0,1943,12,28,10,25,0,0.5,1.94,NCE|io=04.0
3.28,-89.7,37.5,0,1944,1,7,5,18,0,0.24,1.165,NCE|3.6mb
3.31,-75.5,39.8,0,1944,1,8,0,0,0,0.512,1.872,SSC|TMP05028
4.1,-76.78,45.83,0,1944,1,22,21,55,9.1,0.46,1.752,NCE|4.3ml
2.68,-80,32.9,0,1944,1,28,17,30,0,0.5,1.94,NCE|io=04.0
3.86,-70.5,47.4,0,1944,2,5,12,37,52.5,0.46,1.752,NCE|4.0ml
3.62,-76.2,40.8,0,1944,2,5,16,22,0,0.46,1.752,NCE|3.7ml
3.15,-78.8,42.9,0,1944,2,26,20,58,0,0.357,1.402,SSC|3.15mwa(TblB3
3.94,-78.9,46.7,0,1944,3,8,12,49,0,0.46,1.752,NCE|4.1ml
3.08,-88.3,42,0,1944,3,16,0,0,0,0.24,1.165,NCE|3.4mb
4.78,-67.43,49.92,0,1944,4,9,12,44,0,0.25,1.18,J94|4.78mwd
2.86,-71.7,43.97,0,1944,4,11,20,25,0,0.363,1.418,SSC|2.86mwa(TblB3
3.15,-73.8,44.7,0,1944,5,29,23,3,0,0.357,1.402,SSC|3.15mwa(TblB3
3.15,-72.67,44.15,0,1944,6,4,2,8,0,0.357,1.402,SSC|3.15mwa(TblB3
3.62,-70.28,47.3,0,1944,6,9,15,19,8.7,0.46,1.752,NCE|3.7ml
4.79,-67.75,49.42,0,1944,6,23,6,37,0,0.4,1.528,J94|4.79mwd
3.62,-74.25,46,0,1944,6,24,23,48,38.5,0.46,1.752,NCE|3.7ml
2.85,-70.1,47.6,0,1944,7,15,17,4,0,0.203,1.104,SSC|TMP05049
5.58,-74.72,44.96,20,1944,9,5,4,38,46,0.3,1.269,J96|5.79mwm(24.73
4.08,-90,37.9,0,1944,9,25,11,37,23,0.24,1.165,NCE|4.4mb
3.45,-68.51,50.247,18,1944,10,14,13,26,0,0.203,1.104,SSC|TMP05094
4.02,-67,48.5,0,1944,10,14,13,26,17,0.46,1.752,NCE|4.2ml
4.25,-80.8,48.7,0,1944,11,5,19,7,0,0.24,1.165,NCE|4.4mn
3.98,-84.4,40.4,0,1944,11,13,11,52,0,0.24,1.165,NCE|4.3mb
3.05,-87.1,45.7,0,1944,11,16,19,35,0,0.24,1.165,NCE|3.2mb
3.66,-72.8,41.6,0,1944,12,14,3,15,0,0.22,1.137,NCE|lnfa=09.8
3.48,-89.7,36.2,0,1944,12,23,7,23,0,0.24,1.165,NCE|3.8mb
3.28,-90.2,37.8,0,1945,1,16,2,0,0,0.24,1.165,NCE|3.6mb
2.68,-80,32.9,0,1945,1,30,20,20,0,0.5,1.94,NCE|io=04.0
3.58,-90.2,38.6,0,1945,3,28,1,45,58,0.24,1.165,NCE|3.9mb
2.96,-76.4,43,0,1945,4,15,13,15,0,0.22,1.137,NCE|lnfa=07.0
3.38,-89.7,36.4,0,1945,5,2,10,22,12.6,0.333,1.342,SRA|3.70mfaBAR
3.48,-90.2,38.6,0,1945,5,21,7,51,0,0.24,1.165,NCE|3.8mb
4.1,-75.4,47.08,0,1945,6,12,7,58,15.1,0.46,1.752,NCE|4.3ml
3.68,-84.5,35,0,1945,6,14,3,25,0,0.24,1.165,NCE|4.0mb
4.42,-71.09,47.34,5,1945,6,18,15,20,4.7,0.46,1.752,NCE|4.7ml
3.78,-76.8,48.47,0,1945,7,2,13,29,52.1,0.46,1.752,NCE|3.9ml
3.64,-67,44.9,0,1945,7,15,10,44,0,0.353,1.391,SSC|3.64mwa(TblB3
4.08,-81.38,33.75,5,1945,7,26,10,32,16.4,0.24,1.165,NCE|4.4lg
3.08,-89.7,36.1,0,1945,8,6,23,52,0,0.24,1.165,NCE|3.4mb
2.69,-74.4,45,0,1945,9,12,9,36,0,0.203,1.104,SSC|TMP05155
3.48,-89.8,37,0,1945,9,23,6,22,0,0.24,1.165,NCE|3.8mb
4.42,-69.81,47.99,5,1945,10,9,13,18,42,0.46,1.752,NCE|4.7ml
2.68,-78.5,37.5,0,1945,10,12,19,0,0,0.5,1.94,NCE|io=04.0
3.08,-89.5,36.5,0,1945,10,27,10,42,0,0.24,1.165,NCE|3.4mb
2.74,-78.5,37.5,0,1945,10,30,1,29,0,0.22,1.137,NCE|lnfa=06.0
3.48,-97.9,43,0,1945,11,10,8,0,0,0.24,1.165,NCE|3.8mb
3.78,-89.2,37,0,1945,11,13,8,21,0,0.24,1.165,NCE|4.1mb
3.05,-74.9,45,0,1945,12,2,15,22,32,0.46,1.752,SRA|3.00mlEPB
2.89,-70.2,47.5,0,1945,12,7,5,54,0,0.203,1.104,SSC|TMP05169
4.1,-68.7,49.4,0,1946,1,17,8,4,52,0.46,1.752,NCE|4.3ml
3.28,-89.1,38.6,0,1946,2,25,0,52,0,0.24,1.165,NCE|3.6mb
3.48,-84.9,35.2,0,1946,4,7,5,0,0,0.24,1.165,NCE|3.8mb
3.53,-73.43,45.73,0,1946,4,21,5,5,55.5,0.46,1.752,NCE|3.6ml
3.88,-90.8,36.6,0,1946,5,15,6,10,0,0.24,1.165,NCE|4.2mb
3.15,-74.53,44.65,0,1946,6,27,21,6,0,0.357,1.402,SSC|3.15mwa(TblB3
3.78,-98.6,44.1,0,1946,7,23,6,45,0,0.24,1.165,NCE|4.1lg
3.29,-71.47,47.33,0,1946,9,1,4,39,41,0.46,1.752,NCE|3.3ml
3.05,-74.88,44.9,0,1946,9,4,19,30,0,0.46,1.752,NCE|3.0ml
3.21,-75,47.72,0,1946,9,19,0,53,28.8,0.46,1.752,NCE|3.2ml
3.37,-72.15,46.43,0,1946,9,26,21,19,8.2,0.46,1.752,NCE|3.4ml
4.08,-90.6,37.5,0,1946,10,8,1,12,2,0.24,1.165,NCE|4.4mb
3.48,-103.6,48.1,0,1946,10,26,20,37,0,0.24,1.165,NCE|3.8mb
2.65,-105.7,48.1,0,1946,10,26,20,45,0,0.515,1.886,SSC|TMP05200
2.88,-90.7,38,0,1946,11,7,20,43,20,0.24,1.165,NCE|3.2mb
3.13,-77.45,42.87,0,1946,11,10,11,41,23.1,0.46,1.752,NCE|3.1ml
3.05,-74.9,45,0,1946,11,11,10,20,47,0.46,1.752,SRA|3.00mlEPB
3.13,-74.68,45.17,0,1946,11,24,10,20,47.2,0.46,1.752,NCE|3.1ml
3.05,-74.9,44.9,0,1946,12,25,4,48,3,0.46,1.752,NCE|3.0ml
2.68,-73.6,41,0,1947,1,4,18,51,0,0.5,1.94,NCE|io=04.0
2.88,-89.2,37,0,1947,1,16,16,23,0,0.24,1.165,NCE|3.2mb
3.78,-76.7,46.8,0,1947,1,19,0,45,1.7,0.46,1.752,NCE|3.9ml
4.02,-70.53,47.67,0,1947,2,2,16,50,32.3,0.46,1.752,NCE|4.2ml
3.48,-88.3,42.1,0,1947,3,16,15,30,0,0.24,1.165,NCE|3.8mb
3.48,-88.4,37,0,1947,3,26,0,0,0,0.24,1.165,NCE|3.8mb
3.86,-70.23,47.37,0,1947,3,29,12,28,52.4,0.46,1.752,NCE|4.0ml
2.86,-74.28,41,0,1947,4,1,13,25,0,0.363,1.418,SSC|2.86mwa(TblB3
3.58,-87.9,43,0,1947,5,6,21,27,0,0.24,1.165,NCE|3.9mb
3.48,-100.9,46,0,1947,5,14,5,2,0,0.24,1.165,NCE|3.8mb
3.28,-100.3,44.4,0,1947,5,16,5,45,0,0.24,1.165,NCE|3.6mb
3.08,-84,36,0,1947,6,6,12,55,0,0.24,1.165,NCE|3.4mb
3.88,-90.2,38.4,0,1947,6,30,4,23,53,0.24,1.165,NCE|4.2mb
3.55,-81.1,46.5,0,1947,8,8,5,39,0,0.24,1.165,NCE|3.7mn
4.28,-85,41.93,2,1947,8,10,2,46,41.3,0.24,1.165,NCE|4.6lg
3.48,-98.9,43.1,0,1947,8,25,14,0,0,0.24,1.165,NCE|3.8mb
2.59,-77.128,47.242,18,1947,9,1,13,32,0,0.203,1.104,SSC|TMP05225
4.1,-81.3,47,0,1947,9,14,19,29,0,0.46,1.752,NCE|4.3ml
3.68,-92.6,31.9,0,1947,9,20,21,30,0,0.24,1.165,NCE|4.0mb
3.15,-74.9,45,0,1947,10,3,15,28,0,0.245,1.154,SSC|TMP05228
3.7,-70.72,47.55,0,1947,10,22,9,36,38.3,0.46,1.752,NCE|3.8ml
2.68,-80,32.9,0,1947,11,2,4,30,0,0.5,1.94,NCE|io=04.0
4.26,-81.2,45.7,0,1947,11,3,19,51,0,0.46,1.752,NCE|4.5ml
3.88,-90.6,36.7,0,1947,12,1,7,47,33,0.24,1.165,NCE|4.2mb
3.68,-90.1,35.6,0,1947,12,15,3,27,0,0.24,1.165,NCE|4.0mb
3.48,-85.3,35,0,1947,12,28,0,5,0,0.24,1.165,NCE|3.8mb
3.95,-69.2,45.2,0,1947,12,28,19,58,0,0.24,1.165,NCE|4.1mn
4.26,-70.4,47.3,0,1948,1,1,18,33,45.3,0.46,1.752,NCE|4.5ml
3.3,-78.6,37.6,0,1948,1,4,23,0,0,0.22,1.137,NCE|lnfa=08.4
2.68,-78.3,37.7,0,1948,1,5,2,45,0,0.5,1.94,NCE|io=04.0
2.98,-89.1,38.6,0,1948,1,6,1,34,0,0.24,1.165,NCE|3.3mb
3.48,-89.7,43.1,0,1948,1,15,17,40,0,0.24,1.165,NCE|3.8mb
3.55,-69,50,0,1948,1,16,6,2,56,0.24,1.165,NCE|3.7mn
3.25,-83.6,41.7,0,1948,1,18,0,0,0,0.24,1.165,NCE|3.4mb
4.18,-84.1,36.4,0,1948,2,10,0,4,0,0.24,1.165,NCE|4.5mb
2.59,-74.6,47.2,0,1948,2,28,21,19,0,0.203,1.104,SSC|TMP05257
4.48,-102.48,36.22,5,1948,3,12,4,29,6.3,0.24,1.165,NCE|4.8lg
3.48,-97.3,37.7,0,1948,4,3,3,0,0,0.24,1.165,NCE|3.8mb
2.65,-73.8,44.2,0,1948,4,4,2,44,34,0.46,1.752,SRA|2.50mlEPB
2.88,-99.6,41.4,0,1948,4,7,0,0,0,0.24,1.165,NCE|3.2mb
3.48,-91.8,41.7,0,1948,4,20,14,17,0,0.24,1.165,NCE|3.8mb
3.18,-71.8,41.4,0,1948,5,4,2,23,0,0.22,1.137,NCE|lnfa=07.9
3.86,-73.69,45.86,3,1948,5,7,12,2,27.3,0.46,1.752,NCE|4.0ml
3.62,-73.87,45.23,0,1948,6,9,3,4,12.2,0.46,1.752,NCE|3.7ml
3.45,-73.9,45.18,0,1948,7,7,7,38,1.4,0.46,1.752,NCE|3.5ml
2.68,-82.2,26.5,0,1948,11,8,17,44,0,0.5,1.94,NCE|io=04.0
3.45,-70.3,46.7,0,1948,11,13,16,49,56.6,0.46,1.752,NCE|3.5ml
3.04,-67,45,0,1948,11,21,14,15,0,0.218,1.12,SSC|TMP05283
2.97,-74.3,44.4,0,1948,11,22,23,32,50,0.46,1.752,SRA|2.90mlEPB
3.05,-69.2,45.2,0,1948,11,29,4,56,0,0.359,1.407,SSC|3.05mwa(TblB3
3.28,-89.7,36.4,0,1949,1,14,3,45,19.6,0.333,1.342,SRA|3.60mfaBAR
2.68,-80,32.9,0,1949,2,2,10,52,0,0.5,1.94,NCE|io=04.0
2.65,-104.2,32.4,0,1949,2,2,23,0,0,0.515,1.886,SSC|TMP05292
2.58,-71.5,41.6,0,1949,4,17,0,15,0,0.22,1.137,NCE|lnfa=05.3
3.08,-99,44.5,0,1949,5,7,14,54,10,0.24,1.165,NCE|3.4mb
3.4,-77.6,37.6,0,1949,5,8,11,1,0,0.22,1.137,NCE|lnfa=08.8
3.28,-99,42.5,0,1949,5,13,4,15,0,0.24,1.165,NCE|3.6mb
3.31,-105.2,34.6,0,1949,5,23,7,22,0,0.512,1.872,SSC|TMP05299
3.48,-100,45,0,1949,6,3,0,0,0,0.24,1.165,NCE|3.8mb
2.98,-90.3,38.1,0,1949,6,8,19,51,36,0.24,1.165,NCE|3.3mb
2.68,-80,32.9,0,1949,6,27,6,53,0,0.5,1.94,NCE|io=04.0
5.38,-70.75,32.25,0,1949,7,9,18,44,43,0.24,1.165,NCE|5.7mb
2.88,-90.3,38.6,0,1949,8,11,16,32,0,0.24,1.165,NCE|3.2mb
3.08,-89.7,36.1,0,1949,8,13,21,45,0,0.24,1.165,NCE|3.4mb
3.08,-90.7,38.6,0,1949,8,26,0,0,0,0.24,1.165,NCE|3.4mb
3.08,-83,36.7,0,1949,9,17,9,30,0,0.22,1.137,NCE|lnfa=07.5
3.99,-70.59,44.84,0,1949,10,5,2,33,0,0.3,1.269,SSC|4.20mwm(TblB2
4.02,-74.9,45.49,14,1949,10,16,23,33,45.4,0.46,1.752,NCE|4.2ml
3.37,-72.12,46.47,0,1949,10,30,20,51,13.7,0.46,1.752,NCE|3.4ml
3.08,-99.4,43.2,0,1949,12,14,3,15,0,0.24,1.165,NCE|3.4mb
