emw,lon(dE),lat(dN),dp(km),y,m,d,h,m,s,mwsig,nstar,comment
2.68,-70.3,43.7,0,1766,1,23,10,0,0,0.5,1.94,NCE|io=04.0
3.98,-68,42,0,1766,2,2,0,0,0,0.513,1.877,SSC|TMP00258
2.68,-70.77,43.07,0,1766,3,2,8,0,0,0.5,1.94,NCE|io=04.0
3.31,-71.3,41.5,0,1766,8,25,0,0,0,0.512,1.872,SSC|TMP00261
2.68,-70.8,43.1,0,1766,12,17,11,48,0,0.5,1.94,NCE|io=04.0
2.68,-70.3,43.7,0,1769,10,19,0,0,0,0.5,1.94,NCE|io=04.0
3,-75.5,39.8,0,1772,4,25,13,0,0,0.369,1.385,SSC|TMP00268
4.34,-77.4,37.2,0,1774,2,21,19,0,0,0.22,1.137,NCE|lnfa=11.9
2.68,-78.8,37.7,0,1775,3,16,19,15,0,0.5,1.94,NCE|io=04.0
4.01,-82,39.9,0,1776,1,1,0,0,0,0.5,1.94,NCE|io=06.0
2.68,-83,35.2,0,1776,11,5,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-84,36,0,1777,11,16,7,0,0,0.5,1.94,NCE|io=04.0
3.98,-81.9,40.2,0,1779,2,13,0,0,0,0.513,1.877,SSC|TMP00287
4.01,-87.2,30.4,0,1780,2,6,0,0,0,0.5,1.94,NCE|io=06.0
2.68,-70.9,42.5,0,1780,11,29,0,0,0,0.5,1.94,NCE|io=04.0
2.65,-74,40.8,0,1783,7,29,0,0,0,0.515,1.886,SSC|TMP00291
4.77,-74.5,41,0,1783,11,30,3,50,0,0.22,1.137,NCE|lnfa=12.9
2.68,-71.2,46.8,0,1784,1,2,10,0,0,0.5,1.94,NCE|io=04.0
2.68,-71.2,46.8,0,1784,1,12,8,30,0,0.5,1.94,NCE|io=04.0
4.85,-71.1,42.3,0,1785,1,2,0,0,0,0.5,1.94,J94|4.85mwd
2.65,-76.611,39.301,0,1790,12,23,8,0,0,0.515,1.886,SSC|TMP00305
2.68,-78.8,37.7,0,1791,1,13,9,0,0,0.5,1.94,NCE|io=04.0
2.68,-77.5,37.5,0,1791,1,15,10,0,0,0.5,1.94,NCE|io=04.0
4.02,-72.4,41.5,0,1791,5,16,13,22,0,0.22,1.137,NCE|lnfa=11.0
5.5,-70.5,47.4,0,1791,12,6,20,0,0,0.25,1.18,J94|5.50mwd
2.68,-72.5,41.5,0,1792,8,29,3,0,0,0.5,1.94,NCE|io=04.0
2.68,-72.5,41.5,0,1794,3,6,19,0,0,0.5,1.94,NCE|io=04.0
3.35,-89.9,38,0,1795,1,8,9,0,0,0.5,1.819,SHM|NCE
3.38,-77.63,37.41,0,1795,2,12,1,0,0,0.371,1.39,SSC|TMP00327
4.01,-79,42.9,0,1796,12,26,11,0,0,0.5,1.94,NCE|io=06.0
2.65,-76.32,40.02,0,1798,1,11,7,0,0,0.515,1.886,SSC|TMP00329
4.38,-80,32.9,0,1799,4,11,8,20,0,0.22,1.137,NCE|lnfa=12.0
2.65,-75.1,40,0,1800,3,17,0,0,0,0.369,1.385,SSC|TMP00333
3.78,-76.39,40.12,0,1800,11,20,5,0,0,0.22,1.137,NCE|lnfa=10.2
2.68,-72.3,43.7,0,1800,12,20,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-71.1,41.9,0,1800,12,25,0,0,0,0.5,1.94,NCE|io=04.0
2.65,-76.32,40.02,0,1801,1,27,20,40,0,0.515,1.886,SSC|TMP00342
2.68,-70.8,43.1,0,1801,3,1,20,30,0,0.5,1.94,NCE|io=04.0
3.35,-79.1,37.4,0,1802,8,23,10,0,0,0.5,1.94,NCE|io=05.0
2.68,-70.9,42.5,0,1803,1,18,14,50,0,0.5,1.94,NCE|io=04.0
3.98,-89.916,37.921,0,1804,2,21,0,0,0,0.513,1.877,SSC|TMP00349
2.98,-73.94,40.67,0,1804,5,8,6,30,0,0.513,1.877,SSC|TMP00352
4.11,-87.8,42,0,1804,8,20,20,10,0,0.22,1.137,USH|lnfa=11.26
4.12,-89,42,0,1804,8,24,20,10,0,0.22,1.137,NCE|lnfa=11.3
2.68,-70.9,42.5,0,1805,4,25,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-69,44.5,0,1805,6,12,12,30,0,0.5,1.94,NCE|io=04.0
2.68,-72.5,41.5,0,1805,12,30,11,0,0,0.5,1.94,NCE|io=04.0
2.68,-71.1,43,0,1807,1,14,4,0,0,0.5,1.94,NCE|io=04.0
3.35,-79.1,37.4,0,1807,5,1,9,0,0,0.5,1.94,NCE|io=05.0
2.68,-70.5,43.5,0,1807,5,6,18,0,0,0.5,1.94,NCE|io=04.0
3.35,-69,44.4,0,1808,6,26,2,50,0,0.5,1.94,NCE|io=05.0
3.72,-70.9,43,0,1810,11,10,2,15,0,0.22,1.137,NCE|lnfa=10.0
2.68,-80.2,36.1,0,1811,11,27,8,0,0,0.5,1.94,NCE|io=04.0
2.68,-77.4,37.6,0,1812,2,2,9,30,0,0.5,1.94,NCE|io=04.0
7.8,-89.4,36.3,0,1812,2,7,9,45,0,0.22,1.137,BHa|7.8mwd
2.68,-77.5,37.5,0,1812,4,22,4,0,0,0.5,1.94,NCE|io=04.0
3.96,-70.3,43.7,0,1814,11,29,0,14,0,0.22,1.137,NCE|lnfa=10.8
4.84,-73.6,45.5,0,1816,9,9,0,0,0,0.5,1.94,J94|4.84mwd
4.9,-80,32.9,0,1817,1,8,9,0,0,0.22,1.137,USH|lnfa=13.15
3.31,-87.511,38.676,0,1817,1,16,0,0,0,0.512,1.872,SSC|TMP00667
4.69,-67.5,44.72,0,1817,5,22,7,45,0,0.25,1.18,J94|4.69mwd
2.65,-84.5,38.5,0,1817,9,5,0,0,0,0.515,1.886,SSC|TMP00669
3.99,-71.2,42.5,0,1817,10,5,16,45,0,0.22,1.137,NCE|lnfa=10.9
2.68,-84.5,38.5,0,1817,12,11,0,0,0,0.5,1.94,NCE|io=04.0
3.31,-84.131,36.091,0,1818,8,14,14,36,0,0.512,1.872,SSC|TMP00678
2.68,-71.2,46.9,0,1818,10,11,0,0,0,0.5,1.94,NCE|io=04.0
2.68,-76.5,44,0,1818,12,7,0,0,0,0.5,1.94,NCE|io=04.0
3.35,-89.7,37.7,0,1819,9,2,8,0,0,0.5,1.94,NCE|io=05.0
3.27,-76.301,40.042,0,1820,8,21,14,35,0,0.363,1.371,SSC|TMP00689
2.65,-89.5,36.6,0,1820,9,1,0,0,0,0.515,1.886,SSC|TMP00690
2.68,-79.3,33.4,0,1820,9,3,8,30,0,0.5,1.94,NCE|io=04.0
3.35,-89.5,37.3,0,1820,11,9,22,0,0,0.5,1.94,NCE|io=05.0
2.65,-75.876,39.772,0,1821,1,25,23,57,0,0.515,1.886,SSC|TMP00693
2.65,-76.495,40.033,0,1821,3,4,9,0,0,0.515,1.886,SSC|TMP00695
3.31,-88,37.5,0,1821,3,25,0,0,0,0.512,1.872,SSC|TMP00696
3.69,-68.8,44.8,0,1821,5,5,12,30,0,0.22,1.137,NCE|lnfa=09.9
3.98,-76.611,39.301,0,1821,5,11,4,0,0,0.513,1.877,SSC|TMP00698
3.44,-76.301,40.042,0,1822,5,4,20,30,0,0.363,1.371,SSC|TMP00699
3.98,-82.012,39.952,0,1822,11,9,15,30,0,0.513,1.877,SSC|TMP00702
2.65,-76.611,39.301,0,1822,12,4,0,0,0,0.515,1.886,SSC|TMP00703
2.68,-70,43.9,0,1823,3,7,15,0,0,0.5,1.94,NCE|io=04.0
3.35,-68.8,44.8,0,1823,6,10,17,0,0,0.5,1.94,NCE|io=05.0
3.81,-70.6,42.9,0,1823,7,23,11,55,0,0.22,1.137,NCE|lnfa=10.3
3.35,-66.5,46.5,0,1824,7,9,0,0,0,0.5,1.94,NCE|io=05.0
4.38,-80.5,39.7,0,1824,7,15,16,20,0,0.22,1.137,NCE|lnfa=12.0
